"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 08 01:37:09 UTC 2024","Mon Jul 08 01:37:14 UTC 2024","4646","tests.integration","test_trust","","","","test_enable_rbac","Enables RBAC from inside test runner's environment.

    Assert on permission enforcement being active.
    "
"unknown","","","","tests.integration.ha_tests","test_replication","","","","test_consistency","Write to primary, read data from secondaries (check consistency)."
"skipped","Mon Jul 08 01:39:26 UTC 2024","Mon Jul 08 01:39:26 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_async_replication_failover_in_secondary_cluster","Test that async replication fails back correctly."
"skipped","Mon Jul 08 01:39:26 UTC 2024","Mon Jul 08 01:39:26 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_async_replication","Test async replication between two PostgreSQL clusters."
"passed","Mon Jul 08 01:42:50 UTC 2024","Mon Jul 08 01:42:53 UTC 2024","2092","tests.integration","test_charm","","","","test_settings_are_correct[1]",""
"broken","Mon Jul 08 01:55:00 UTC 2024","Mon Jul 08 01:55:00 UTC 2024","1","tests.integration","test_db","","","","test_roles_blocking",""
"passed","Mon Jul 08 01:36:08 UTC 2024","Mon Jul 08 01:41:42 UTC 2024","333579","tests.integration.ha_tests","test_self_healing","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"skipped","Mon Jul 08 01:39:26 UTC 2024","Mon Jul 08 01:39:26 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_switchover","Test switching over to the second cluster."
"broken","Mon Jul 08 01:54:30 UTC 2024","Mon Jul 08 01:55:00 UTC 2024","30035","tests.integration","test_db","","","","test_extensions_blocking",""
"passed","Mon Jul 08 01:49:46 UTC 2024","Mon Jul 08 01:58:02 UTC 2024","496556","tests.integration","test_charm","","","","test_scale_down_and_up","Test data is replicated to new units after a scale up."
"passed","Mon Jul 08 01:46:55 UTC 2024","Mon Jul 08 01:46:57 UTC 2024","2110","tests.integration","test_password_rotation","","","","test_db_connection_with_empty_password","Test that user can't connect with empty password."
"failed","Mon Jul 08 01:58:03 UTC 2024","Mon Jul 08 01:59:23 UTC 2024","79906","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Mon Jul 08 01:42:48 UTC 2024","Mon Jul 08 01:42:48 UTC 2024","17","tests.integration","test_charm","","","","test_labels_consistency_across_pods[2]",""
"passed","Mon Jul 08 01:53:22 UTC 2024","Mon Jul 08 02:02:59 UTC 2024","577171","tests.integration.ha_tests","test_upgrade","","","","test_fail_and_rollback",""
"passed","Mon Jul 08 01:36:08 UTC 2024","Mon Jul 08 01:39:53 UTC 2024","224525","tests.integration.relations","test_relations","","","","test_deploy_charms","Deploy both charms (application and database) to use in the tests."
"broken","Mon Jul 08 01:37:27 UTC 2024","Mon Jul 08 01:54:30 UTC 2024","1022929","tests.integration","test_db","","","","test_finos_waltz_db","Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
    "
"passed","Mon Jul 08 01:45:09 UTC 2024","Mon Jul 08 01:46:13 UTC 2024","64545","tests.integration.new_relations","test_new_relations","","","","test_two_applications_doesnt_share_the_same_relation_data","Test that two different application connect to the database with different credentials."
"skipped","Mon Jul 08 01:39:26 UTC 2024","Mon Jul 08 01:39:26 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_scaling","Test that async replication works when scaling the clusters."
"passed","Mon Jul 08 01:42:48 UTC 2024","Mon Jul 08 01:42:48 UTC 2024","111","tests.integration","test_charm","","","","test_labels_consistency_across_pods[0]",""
"skipped","Mon Jul 08 01:39:26 UTC 2024","Mon Jul 08 01:39:26 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_async_replication_failover_in_main_cluster","Test that async replication fails over correctly."
"broken","Mon Jul 08 01:36:08 UTC 2024","Mon Jul 08 02:27:59 UTC 2024","3110860","tests.integration","test_backups","","","","test_backup_and_restore","Build and deploy two units of PostgreSQL and then test the backup and restore actions."
"passed","Mon Jul 08 01:46:52 UTC 2024","Mon Jul 08 01:47:34 UTC 2024","42003","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_connect_to_multiple_aliased_database_clusters","Test that an application can connect to different clusters of the same database."
"broken","Mon Jul 08 01:37:25 UTC 2024","Mon Jul 08 01:37:55 UTC 2024","30026","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_deploy_stable","Simple test to ensure that the PostgreSQL and application charms get deployed."
"passed","Mon Jul 08 01:43:42 UTC 2024","Mon Jul 08 01:45:15 UTC 2024","92987","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[/usr/bin/patroni]",""
"passed","Mon Jul 08 02:00:11 UTC 2024","Mon Jul 08 02:08:30 UTC 2024","498616","tests.integration.new_relations","test_new_relations","","","","test_discourse",""
"skipped","Mon Jul 08 01:39:26 UTC 2024","Mon Jul 08 01:39:26 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_promote_standby","Test promoting the standby cluster."
"passed","Mon Jul 08 01:41:46 UTC 2024","Mon Jul 08 01:43:41 UTC 2024","114766","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[postgres]",""
"passed","Mon Jul 08 01:37:37 UTC 2024","Mon Jul 08 01:38:00 UTC 2024","23326","tests.integration","test_tls","","","","test_build_and_deploy","Build and deploy three units of PostgreSQL."
"passed","Mon Jul 08 01:49:24 UTC 2024","Mon Jul 08 01:54:20 UTC 2024","295928","tests.integration.new_relations","test_new_relations","","","","test_read_only_endpoint_in_scaled_up_cluster","Test that there is read-only endpoint in a scaled up cluster."
"passed","Mon Jul 08 01:36:46 UTC 2024","Mon Jul 08 01:39:59 UTC 2024","193100","tests.integration.ha_tests","test_smoke","","","","test_app_force_removal","Remove unit with force while storage is alive."
"passed","Mon Jul 08 01:37:02 UTC 2024","Mon Jul 08 01:44:31 UTC 2024","448885","tests.integration.ha_tests","test_upgrade","","","","test_deploy_latest","Simple test to ensure that the PostgreSQL and application charms get deployed."
"unknown","","","","tests.integration.ha_tests","test_replication","","","","test_no_data_replicated_between_clusters","Check that writes in one cluster are not replicated to another cluster."
"passed","Mon Jul 08 01:55:19 UTC 2024","Mon Jul 08 01:56:08 UTC 2024","49288","tests.integration.new_relations","test_new_relations","","","","test_relation_with_no_database_name","Test that a relation with no database name doesn't block the charm."
"passed","Mon Jul 08 01:42:48 UTC 2024","Mon Jul 08 01:42:48 UTC 2024","100","tests.integration","test_charm","","","","test_application_created_required_resources",""
"passed","Mon Jul 08 01:42:12 UTC 2024","Mon Jul 08 01:46:46 UTC 2024","274121","tests.integration","test_password_rotation","","","","test_password_rotation","Test password rotation action."
"passed","Mon Jul 08 01:44:50 UTC 2024","Mon Jul 08 01:53:21 UTC 2024","510651","tests.integration.ha_tests","test_upgrade","","","","test_upgrade_from_edge",""
"passed","Mon Jul 08 02:17:37 UTC 2024","Mon Jul 08 02:20:23 UTC 2024","166242","tests.integration","test_charm","","","","test_storage_with_more_restrictive_permissions","Test that the charm can be deployed with a storage with more restrictive permissions."
"passed","Mon Jul 08 01:36:48 UTC 2024","Mon Jul 08 01:42:48 UTC 2024","359178","tests.integration","test_charm","","","","test_build_and_deploy","Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    "
"passed","Mon Jul 08 01:39:53 UTC 2024","Mon Jul 08 01:41:52 UTC 2024","119382","tests.integration.relations","test_relations","","","","test_legacy_and_modern_endpoints_simultaneously",""
"broken","Mon Jul 08 02:00:59 UTC 2024","Mon Jul 08 02:02:07 UTC 2024","67462","tests.integration.ha_tests","test_self_healing","","","","test_network_cut","Completely cut and restore network."
"passed","Mon Jul 08 01:58:22 UTC 2024","Mon Jul 08 02:04:19 UTC 2024","357075","tests.integration","test_charm","","","","test_persist_data_through_failure","Test data persists through a failure."
"passed","Mon Jul 08 01:42:48 UTC 2024","Mon Jul 08 01:42:50 UTC 2024","2170","tests.integration","test_charm","","","","test_settings_are_correct[0]",""
