"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test data persists through a graceful restart.","19214","test_persist_data_through_graceful_restart","tests.integration","Sun Dec 15 03:38:49 UTC 2024","passed","Sun Dec 15 03:39:08 UTC 2024","","test_charm","",""
"Test switching over to the second cluster.","376338","test_switchover","tests.integration.ha_tests","Sun Dec 15 03:28:50 UTC 2024","passed","Sun Dec 15 03:35:06 UTC 2024","","test_async_replication","",""
"","2060","test_settings_are_correct[2]","tests.integration","Sun Dec 15 03:26:50 UTC 2024","passed","Sun Dec 15 03:26:52 UTC 2024","","test_charm","",""
"","61","test_labels_consistency_across_pods[0]","tests.integration","Sun Dec 15 03:26:46 UTC 2024","passed","Sun Dec 15 03:26:46 UTC 2024","","test_charm","",""
"Test that the pre-upgrade-check action runs successfully.","18219","test_pre_upgrade_check","tests.integration.ha_tests","Sun Dec 15 03:24:20 UTC 2024","passed","Sun Dec 15 03:24:38 UTC 2024","","test_upgrade_from_stable","",""
"Test data persists through a failure.","416638","test_persist_data_through_failure","tests.integration","Sun Dec 15 03:39:08 UTC 2024","passed","Sun Dec 15 03:46:05 UTC 2024","","test_charm","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","1352316","test_backup_gcp","tests.integration","Sun Dec 15 03:20:07 UTC 2024","broken","Sun Dec 15 03:42:39 UTC 2024","","test_backups","",""
"","97912","test_freeze_db_process[postgres]","tests.integration.ha_tests","Sun Dec 15 03:33:29 UTC 2024","passed","Sun Dec 15 03:35:07 UTC 2024","","test_self_healing","",""
"Build the charm and deploy it.","277615","test_deploy_active","tests.integration","Sun Dec 15 03:32:53 UTC 2024","passed","Sun Dec 15 03:37:31 UTC 2024","","test_password_rotation","",""
"Test the audit plugin.","203847","test_audit_plugin","tests.integration","Sun Dec 15 03:21:02 UTC 2024","passed","Sun Dec 15 03:24:26 UTC 2024","","test_audit","",""
"Tries to regain connectivity to model after microK8s restart.","3194","test_model_connectivity","tests.integration","Sun Dec 15 03:43:32 UTC 2024","passed","Sun Dec 15 03:43:35 UTC 2024","","test_trust","",""
"Test application deploy in dirty environment with garbage storage from another application.","677097","test_app_resources_conflicts","tests.integration.ha_tests","Sun Dec 15 03:24:33 UTC 2024","passed","Sun Dec 15 03:35:50 UTC 2024","","test_smoke","",""
"","29","test_application_created_required_resources","tests.integration","Sun Dec 15 03:26:46 UTC 2024","passed","Sun Dec 15 03:26:46 UTC 2024","","test_charm","",""
"Test that the user is removed when the relation is broken.","22546","test_relation_broken","tests.integration.new_relations","Sun Dec 15 03:33:15 UTC 2024","passed","Sun Dec 15 03:33:38 UTC 2024","","test_new_relations","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","340826","test_deploy_async_replication_setup","tests.integration.ha_tests","Sun Dec 15 03:19:52 UTC 2024","passed","Sun Dec 15 03:25:33 UTC 2024","","test_async_replication","",""
"Test that an application can connect to different clusters of the same database.","30317","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","Sun Dec 15 03:27:03 UTC 2024","passed","Sun Dec 15 03:27:33 UTC 2024","","test_new_relations","",""
"","193864","test_extensions_blocking","tests.integration","Sun Dec 15 03:49:06 UTC 2024","passed","Sun Dec 15 03:52:20 UTC 2024","","test_db","",""
"Test password rotation action.","253450","test_password_rotation","tests.integration","Sun Dec 15 03:37:31 UTC 2024","passed","Sun Dec 15 03:41:44 UTC 2024","","test_password_rotation","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","146812","test_plugin_objects","tests.integration","Sun Dec 15 03:51:37 UTC 2024","passed","Sun Dec 15 03:54:03 UTC 2024","","test_plugins","",""
